,V1_in,V2_in,V3_in,t,V1,V2,V3,I1,I2,I3,ax,ay,az,gx,gy,gz,color
199,-100,-200,-200,8000,-68.87755102,-165.8571429,-162,0.126143436,0.29381865,0.343441553,0.107323944,-0.201760563,10.55816901,0.009507042,-0.007676056,-0.268309859,gray
200,-100,-300,-200,8000,-67.2244898,-265.0408163,-160.8979592,0.127800164,0.378109286,0.265311312,0.032394366,-0.166267606,10.57161972,0.011971831,-0.008169014,-0.332042254,gray
201,-200,-100,-200,8000,-161.1734694,-72.18367347,-164.755102,0.351207861,0.128821395,0.306582544,0.050704225,-0.149295775,10.57028169,0.010774648,-0.005704225,-0.265211268,gray
202,-200,-200,-200,8000,-164.2040816,-163.1020408,-161.4489796,0.218934718,0.211045186,0.207346953,0.08943662,-0.139507042,10.56887324,0.011830986,-0.007957746,-0.322605634,gray
203,-200,-300,-200,8000,-170.2653061,-265.0408163,-169.9897959,0.202857716,0.397723849,0.167856057,0.068450704,-0.183873239,10.56697183,0.013873239,-0.006690141,-0.401408451,gray
204,-300,-100,-200,8000,-256.7755102,-70.25510204,-169.7142857,0.472865258,0.117892891,0.163362272,0.041971831,-0.156267606,10.56690141,0.012323944,-0.005915493,-0.336760563,gray
205,-300,-200,-200,8000,-260.9081633,-175.2244898,-173.0204082,0.425420334,0.177195101,0.16143805,0.036056338,-0.165422535,10.56288732,0.013732394,-0.005985915,-0.406901408,gray
206,-300,-300,-200,8000,-273.8571429,-272.4795918,-178.8061224,0.32864867,0.330127963,0.127403742,-0.003802817,-0.191197183,10.55457746,0.016408451,-0.004507042,-0.477957746,gray
207,-100,-100,-300,8000,-70.53061224,-67.2244898,-258.1530612,0.120382346,0.126353174,0.505725646,0.040774648,-0.112253521,10.57570423,0.012112676,-0.007746479,-0.26556338,gray
208,-100,-200,-300,8000,-70.1443299,-169.7142857,-262.8367347,0.091973178,0.238749131,0.480050005,0.023239437,-0.152957746,10.57042254,0.014084507,-0.006901408,-0.339295775,gray
209,-100,-300,-300,8000,-70.53061224,-264.7653061,-267.244898,0.100835424,0.349358751,0.379191121,-0.009225352,-0.182746479,10.56753521,0.015915493,-0.007394366,-0.401690141,gray
210,-200,-100,-300,8000,-173.8469388,-68.87755102,-260.3571429,0.184079439,0.10283536,0.464743519,0.007253521,-0.134859155,10.56049296,0.014366197,-0.005774648,-0.33584507,gray
211,-200,-200,-300,8000,-170.5408163,-167.5102041,-258.4285714,0.195462316,0.197695841,0.386616456,0.015985915,-0.179577465,10.55838028,0.016971831,-0.005422535,-0.403943662,gray
212,-200,-300,-300,8000,-179.9081633,-271.6530612,-270.8265306,0.142021297,0.327292648,0.336291694,0.024084507,-0.166197183,10.56591549,0.017816901,-0.006971831,-0.479295775,gray
213,-300,-100,-300,8000,-262.5612245,-65.84693878,-270,0.360489865,0.132953354,0.286598215,0.018943662,-0.163450704,10.55140845,0.015774648,-0.004788732,-0.40056338,gray
214,-300,-200,-300,8000,-267.7959184,-175.7755102,-266.9693878,0.319526386,0.160256267,0.273914952,0.044647887,-0.206971831,10.55373239,0.017464789,-0.005492958,-0.481408451,gray
215,-300,-300,-300,8000,-276.6122449,-274.1326531,-278.2653061,0.27943716,0.264790289,0.243076722,0.02528169,-0.168450704,10.55647887,0.018450704,-0.004859155,-0.552816901,gray
0,100,100,100,8000,50.93814433,49.06451613,48.65625,0.330399,0.359484403,0.358846523,0.068689655,-0.27862069,10.55903448,0.004068966,-0.011655172,0.090551724,lightgreen
1,100,200,100,8000,70.42268041,138.8969072,65.96907216,0.129480694,0.691797632,0.142109842,0.067622378,-0.291678322,10.57657343,0.001608392,-0.012657343,0.163986014,lightgreen
2,100,300,100,8000,69.03092784,133.8865979,67.63917526,0.134455813,0.737721846,0.141344437,0.016083916,-0.266783217,10.55566434,0.001888112,-0.011818182,0.165874126,lightgreen
3,200,100,100,8000,132.7731959,65.69072165,71.55,0.763617853,0.157104267,0.108753235,0.064,-0.299034483,10.56551724,0.003448276,-0.013655172,0.158551724,lightgreen
4,200,200,100,8000,151.1443299,148.6391753,85.5,0.525123117,0.510779443,0.103391154,0.009241379,-0.257448276,10.56089655,0.001241379,-0.013517241,0.229793103,lightgreen
5,200,300,100,8000,160.8631579,245.5051546,89.62886598,0.340621929,0.71160465,0.133440614,0.113793103,-0.22062069,10.60158621,0.000137931,-0.014137931,0.302482759,lightgreen
6,300,100,100,8000,237.4329897,72.98901099,84.34020619,0.854190692,0.089359684,0.078294206,0.111172414,-0.235793103,10.59841379,0.001655172,-0.013724138,0.22737931,lightgreen
7,300,200,100,8000,243.8350515,167.5670103,88.79381443,0.739507683,0.299400183,0.13338502,0.097222222,-0.212569444,10.60104167,-0.000833333,-0.012986111,0.291666667,lightgreen
8,300,300,100,8000,250.5154639,256.9175258,91.29896907,0.560897567,0.511034582,0.153439033,0.062068966,-0.220896552,10.60365517,-0.003793103,-0.014758621,0.364482759,lightgreen
9,100,100,200,8000,66.97402597,67.98795181,120.8571429,0.130702531,0.113553029,0.776329216,0.074335664,-0.167272727,10.5993007,0.003006993,-0.011468531,0.160699301,lightgreen
10,100,200,200,8000,79.05154639,154.7628866,150.5876289,0.072463732,0.52213296,0.482204264,0.093655172,-0.174827586,10.59944828,-6.90E-05,-0.013862069,0.232413793,lightgreen
11,100,300,200,8000,84.34020619,241.8865979,154.2061856,0.109868725,0.654930602,0.354657038,0.127655172,-0.239103448,10.59324138,-0.001172414,-0.014827586,0.295517241,lightgreen
12,200,100,200,8000,153.371134,77.93814433,150.3092784,0.464089716,0.10829095,0.522770766,0.089034483,-0.188275862,10.59944828,0.001862069,-0.014689655,0.174413793,lightgreen
13,200,200,200,8000,162,152.2173913,162.8350515,0.328442001,0.313259841,0.327601536,0.130344828,-0.199103448,10.59944828,0.00062069,-0.013517241,0.289655172,lightgreen
14,200,300,200,8000,177.3092784,257.7525773,171.185567,0.179104313,0.582217269,0.228345235,0.107172414,-0.211793103,10.59117241,-0.001586207,-0.014206897,0.361862069,lightgreen
15,300,100,200,8000,228.8041237,76.26804124,168.4020619,0.751308365,0.116760736,0.218444403,0.090344828,-0.170413793,10.58965517,-0.000896552,-0.014275862,0.278068966,lightgreen
16,300,200,200,8000,245.7835052,165.3333333,168.5274725,0.639571035,0.22694202,0.158607935,0.081448276,-0.193517241,10.58234483,-0.001310345,-0.014,0.341724138,lightgreen
17,300,300,200,8000,249.6804124,256.3608247,178.4226804,0.500325466,0.438654452,0.11570505,0.101103448,-0.176068966,10.59675862,-0.001931034,-0.016275862,0.416206897,lightgreen
18,100,100,300,8000,84.06185567,76.82474227,227.4123711,0.084959762,0.102564029,1.069141756,0.101517241,-0.153241379,10.59262069,0.001103448,-0.012551724,0.223034483,lightgreen
19,100,200,300,8000,92.41237113,165.3402062,241.8865979,0.11593008,0.29302185,0.741803891,0.000413793,-0.245517241,10.57131034,-0.002482759,-0.014206897,0.291724138,lightgreen
20,100,300,300,8000,88.51546392,259.1443299,258.0309278,0.112259129,0.517285373,0.509503796,0.135448276,-0.241517241,10.58648276,-0.000344828,-0.015103448,0.367103448,lightgreen
